"","x"
"213",3
"214",6.03
"215",5.94133333333333
"216",2.5115
"217",1.16
"218",5.93
"219",2.97666666666667
"220",3.96
"221",2
"222",3.1725
"223",1.12
"224",2.5305
"225",2.13583333333333
"226",2.4405
"227",4.63616666666667
"228",6.01
"229",1.07
"230",-1.4122036873232e-15
"231",0.247999999999999
"232",4.52533333333333
"233",8.86416666666667
"234",1.465
"235",6.79683333333333
"236",2.98783333333333
"237",2.112
"238",3.50466666666667
"239",7.3205
"240",5.836
"241",6.79583333333333
"242",5.855
"243",2.1935
"244",6.5895
"245",5.0475
"246",5.06666666666667
"247",7.50866666666667
"248",6.84083333333333
"249",3.72216666666667
"250",5.22866666666667
"251",8.48733333333333
"252",6.8015
"253",1.01
"254",4.4995
"255",7.8485
"256",4.9805
"257",5.49866666666667
"258",1.83933333333333
"259",4.06
"260",4.697
"261",5.9155
"262",3.77233333333333
"263",3.66666666666667
"264",5.025
"265",6.89666666666667
"266",-7.99360577730113e-16
"267",5.9975
"268",7.37483333333333
"269",3.93533333333333
"270",1.06
"271",5.7585
"272",0.00999999999999979
"273",6.002
"274",3.07
"275",6.46283333333333
"276",5.72416666666667
"277",1.15
"278",5.32833333333333
"279",7.341
"280",4.222
"281",0.059999999999999
"282",7.81916666666667
"283",2.11216666666667
"284",1.2655
"285",5.23983333333333
"286",3.222
"287",7.0725
"288",4.70333333333333
"289",8.84
"290",8.83633333333333
"291",5.12
"292",6.8775
"293",6.99
"294",8.96
"295",8.818
"296",5.9645
"297",3.5455
"298",0.18
"299",3.377
"300",3.0285
"301",5.976
"302",8.635
"303",8
"304",2.621
"305",5.48666666666667
"306",2.96183333333333
"307",6.57133333333333
"308",1.09
"309",4.254
"310",4.97
"311",7.7785
"312",5.05166666666667
"313",8.14933333333333
"314",2.45216666666667
"315",0.0899999999999997
"316",3.49216666666667
"317",6.283
"318",4.95383333333333
"319",1.2115
"320",7.128
"321",5.03316666666667
"322",1.12916666666667
"323",1.08
"324",8.21616666666667
"325",7.84
"326",4.15
"327",5.11983333333333
"328",0.999999999999997
"329",5.8685
"330",5.3085
"331",5.84
"332",3
"333",1.08
"334",2.89
"335",0.17
"336",8.461
"337",0.454999999999999
"338",1.58433333333333
"339",5.6315
"340",4.62633333333333
"341",5.90533333333333
"342",3.57316666666667
"343",1.01
"344",7.506
"345",5.712
"346",0.0599999999999993
"347",5.1685
"348",5.4785
"349",2.51233333333333
"350",4.14833333333333
"351",5.93666666666667
"352",6.94
"353",6.9
"354",2.7765
"355",5.63433333333333
"356",7.45083333333333
"357",6.48616666666667
"358",8.75833333333333
"359",2.79266666666667
"360",5.2945
"361",6.32066666666667
"362",5.79066666666667
"363",3.53433333333333
"364",6.87633333333333
"365",5.002
"366",2.2365
"367",3.06666666666667
"368",6.82883333333333
"369",0.999999999999997
"370",5.82666666666667
"371",4.52
"372",6.499
"373",6.65466666666667
"374",8.86
"375",7
"376",5.955
"377",8.18733333333333
"378",5.0625
"379",3.03666666666667
"380",6.9225
"381",5.82083333333333
"382",4.9025
"383",5.90316666666667
"384",4.868
"385",2.016
"386",5.78966666666667
"387",3.03416666666667
"388",1.1925
"389",3.02
"390",6.9075
"391",1.02
"392",6.96
"393",6.76516666666667
"394",9
"395",5.93
"396",1.193
"397",0.999999999999999
"398",1.06
"399",7.039
"400",3.39266666666667
"401",8.56433333333333
"402",6.92
"403",6
"404",1.49033333333333
"405",0.999999999999997
"406",1.155
"407",7.158
"408",3.09633333333333
"409",5.47233333333333
"410",5.59566666666667
"411",5.02466666666667
"412",1.00583333333333
"413",4.05
"414",1.12
"415",2.50983333333333
"416",4.264
"417",1.02
"418",0.999999999999997
"419",3.423
"420",4.708
"421",8.31666666666667
"422",5.1915
"423",5.97916666666667
"424",5.3215
"425",4.19566666666667
"426",0.999999999999998
"427",3.99
"428",6.959
"429",5.83366666666667
"430",6.60566666666667
"431",4
"432",7.996
"433",5.09333333333333
"434",2.17433333333333
"435",4.53266666666667
"436",1.03
"437",3.288
"438",8.20816666666667
"439",5.03833333333333
"440",1.25733333333333
"441",7.43883333333333
"442",4.169
"443",6.99
"444",4.1
"445",4.58133333333333
"446",4.25766666666667
"447",2.66616666666667
"448",4.83333333333333
"449",3.072
"450",8.81
"451",5.42216666666667
"452",6.8325
"453",6.004
"454",8.84
"455",4.808
"456",8.49333333333333
"457",3.09066666666667
"458",3.185
"459",4.81766666666667
"460",5.93716666666667
"461",4.13216666666667
"462",7
"463",5.299
"464",2.46233333333333
"465",4.6985
"466",0.999999999999996
"467",6.88
"468",4.629
"469",4.5165
"470",0.999999999999997
"471",0.999999999999998
"472",4.01
"473",8.501
"474",5.02
"475",5.88466666666667
"476",0.12
"477",4.3145
"478",3.072
"479",1.11
"480",0.27
"481",4.10483333333333
"482",7.1315
"483",1.256
"484",2.5015
"485",6.93
"486",9
"487",4.05
"488",7.58216666666667
"489",3.5815
"490",6.82
"491",5.47633333333333
"492",4.03
"493",2.16066666666667
"494",4
"495",5.18866666666667
"496",5.07916666666667
"497",5.889
"498",3.06533333333333
"499",2.11666666666667
"500",0.0339999999999998
"501",5.888
"502",4.951
"503",8.23566666666667
"504",4.35166666666667
"505",1.23
"506",6.98483333333333
"507",3.70083333333333
"508",3.915
"509",1.36366666666667
"510",2.94816666666667
"511",6.87
"512",5.73416666666667
"513",7.518
"514",5.76266666666667
"515",5.249
"516",3.19
"517",4.11916666666667
"518",6.95666666666667
"519",4.36316666666667
"520",3.15633333333333
"521",4.52133333333333
"522",8.51766666666667
"523",0.0599999999999998
"524",6.6615
"525",6.892
"526",1.07
"527",1.1935
"528",0.999999999999997
"529",1.05
"530",6.79
"531",-8.5265128291212e-16
"532",5.193
"533",3.41816666666667
"534",7.91
"535",4.66433333333333
"536",5.00683333333333
"537",5.37066666666667
"538",5.06933333333333
"539",6.16883333333333
"540",3.07333333333333
"541",1.03833333333333
"542",2.10666666666667
"543",7.948
"544",2.124
"545",0.166666666666666
"546",3.55016666666667
"547",-1.25233157177718e-15
"548",9
"549",2.1855
"550",1.09
"551",1.054
"552",3.1
"553",0.600999999999999
"554",4.75733333333333
"555",1.969
"556",0.00999999999999879
"557",6.872
"558",4.97333333333333
"559",5.585
"560",2
"561",1.9175
"562",3
"563",6.79516666666667
"564",1.04
"565",5.896
"566",5.1715
"567",4.66516666666667
"568",1.121
"569",1.91183333333333
"570",4.903
"571",5.72066666666667
"572",5.02066666666667
"573",3.963
"574",4.97233333333333
"575",0.2265
"576",4.36733333333333
"577",7.27066666666667
"578",2.47816666666667
"579",4.1475
"580",2.78433333333333
"581",4.97316666666667
"582",1.05
"583",4.93833333333333
"584",5.9115
"585",8.78333333333333
"586",1.03
"587",6.6875
"588",3.4975
"589",7.6775
"590",3.748
"591",7.84
"592",7.60583333333333
"593",4.77216666666667
"594",5.06416666666667
"595",3.1675
"596",5.98
"597",5.12666666666667
"598",5.9275
"599",0.0649999999999991
"600",3.48233333333333
"601",2.37866666666667
"602",1.07
"603",6.98
"604",1.01
"605",5.98416666666667
"606",2.085
"607",7.2
"608",4.9825
"609",5.38933333333333
"610",4.5425
"611",6.95
"612",3.952
"613",2.98666666666667
"614",3
"615",2.308
"616",4.328
"617",6.791
"618",0.858
"619",0.0649999999999995
"620",8.5585
"621",7.6975
"622",4.92333333333333
"623",8.615
"624",4.49583333333333
"625",0.661333333333333
"626",7.65516666666667
"627",3.69566666666667
"628",4.16983333333333
"629",5.95
"630",3.61033333333333
"631",6.01266666666667
"632",0.999999999999997
"633",7.627
"634",5.96916666666667
"635",0.999999999999997
"636",4.16
"637",6.87
"638",6.96
"639",7.868
"640",3.034
"641",1.8515
"642",7.41
"643",9
"644",6.0665
"645",6.359
"646",5.837
"647",5.03716666666667
"648",5.76366666666667
"649",1.1
"650",7.35866666666667
"651",4.16
"652",8.45383333333333
"653",1.39716666666667
"654",1.5405
"655",7.164
"656",3.33483333333333
"657",4.30116666666667
"658",3.02
"659",2.974
"660",6.93
"661",2.279
"662",3.03
"663",4.02
"664",-1.33226762955019e-15
"665",4.8285
"666",6.617
"667",0.999999999999999
"668",3.0725
"669",3.906
"670",5.84833333333333
"671",3.88833333333333
"672",8.5975
"673",4.18733333333333
"674",3.456
"675",5.68816666666667
"676",6.82
"677",6.7525
"678",3.74
"679",5.855
"680",-1.09245945623115e-15
"681",5.93
"682",8.686
"683",7.39266666666667
"684",5.0265
"685",1.11
"686",4.7715
"687",4.71083333333333
"688",5.888
"689",8.64816666666667
"690",8.915
"691",2.22933333333333
"692",5.96
"693",-8.08242361927114e-16
"694",0.999999999999998
"695",7.2045
"696",4
"697",3.05
"698",8.77666666666667
"699",7.42933333333333
"700",7.149
"701",4
"702",1.1305
"703",4.649
"704",0.039999999999999
"705",5.99366666666667
"706",0.6255
"707",5.1915
"708",4.05
"709",5.80666666666667
"710",5.12133333333333
"711",3.31316666666667
"712",7.13566666666667
"713",1.06
"714",5.0885
"715",5.90933333333333
"716",5.855
"717",2.3655
"718",3.58433333333333
"719",6.88333333333333
"720",6.148
"721",8.79
"722",2.9675
"723",1.146
"724",-9.2370555648813e-16
"725",0.999999999999998
"726",1.19733333333333
"727",5.95916666666667
"728",4.7855
"729",5.4945
"730",4.87983333333333
"731",6.88
"732",1.055
"733",2.996
"734",2.421
"735",6.61833333333333
"736",6.95
"737",1.098
"738",5.40616666666667
"739",1.206
"740",4.63716666666667
"741",4.414
"742",4.25
"743",3.155
"744",4.255
"745",3.03333333333333
"746",8.6605
"747",1.993
"748",6.85
"749",6.9905
"750",5.76933333333333
"751",4.332
"752",8.95
"753",4.05333333333333
"754",3.952
"755",2.42283333333333
"756",4.0285
"757",6.8635
"758",0.999999999999998
"759",1.11333333333333
"760",5.61383333333333
"761",4.39716666666667
"762",-2.93098878501041e-16
"763",4.054
"764",0.6235
"765",4.126
"766",-1.58983937126322e-15
"767",1.33733333333333
"768",5.7065
"769",1.015
"770",7.635
"771",5.61683333333333
"772",5.19166666666667
"773",0.0499999999999991
"774",1.11666666666667
"775",5.24
"776",3.49916666666667
"777",4.02583333333333
"778",5.89166666666667
"779",3.281
"780",1.05
"781",1.8115
"782",5.892
"783",6.77916666666667
"784",7.40833333333333
"785",3.05916666666667
"786",5.05033333333333
"787",5.20533333333333
"788",4.325
"789",6.17533333333333
"790",5.91616666666667
"791",4.86133333333333
"792",1.409
"793",4.35616666666667
"794",-7.105427357601e-16
"795",4.04
"796",3.5365
"797",0.989999999999997
"798",5.93
"799",9
"800",8.1805
"801",1.08
"802",1.06
"803",3.3535
"804",3.36733333333333
"805",1.049
"806",4.98016666666667
"807",8.30533333333333
"808",5.93
"809",5.07333333333333
"810",1.1
"811",5.49983333333333
"812",4.57
"813",3.932
"814",3.41883333333333
"815",3.53483333333333
"816",4.626
"817",0.2525
"818",8.12116666666667
"819",6.99
"820",4.66233333333333
"821",3.03
"822",0.208999999999999
"823",4.74766666666667
"824",-1.10134124042816e-15
"825",1.2075
"826",8.819
"827",0.0999999999999995
"828",4.14
"829",5.11533333333333
"830",2.15783333333333
"831",6.66633333333333
"832",4.09333333333333
"833",4.82266666666667
"834",8.44
"835",3.02833333333333
"836",8.87
"837",5.698
"838",1.01
"839",4.729
"840",4.88183333333333
"841",1.09333333333333
"842",8.95
"843",-1.02140518265514e-15
"844",7.443
"845",4.74766666666667
"846",5.805
"847",6.86
"848",2.05
"849",5.836
"850",4.995
"851",7.2215
"852",8.63933333333333
"853",6.596
"854",6.57016666666667
"855",2.41633333333333
"856",6.62516666666667
"857",1.4965
"858",3.5655
"859",4.83033333333333
"860",5.01816666666667
"861",-8.08242361927114e-16
"862",4.63016666666667
"863",1.13133333333333
"864",4.394
"865",2.37633333333333
"866",3.5945
"867",5.431
"868",8.64333333333333
"869",2.11466666666667
"870",3.1875
"871",5.60133333333333
"872",5.07383333333333
"873",4.025
"874",2.2
"875",3.63833333333333
"876",4.72066666666667
"877",1.01
"878",1.02
"879",0.0599999999999993
"880",0.999999999999997
"881",4.09333333333333
"882",6.93416666666667
"883",1.15
"884",1.60966666666667
"885",2.07666666666667
"886",7
"887",0.999999999999999
"888",5.07
"889",3.98
"890",8.62666666666667
"891",1.06
"892",7.01
"893",5.50266666666667
"894",0.0199999999999992
"895",4.1
"896",2.545
"897",8.41716666666667
"898",5.26566666666666
"899",1.152
"900",0.999999999999998
"901",5.34533333333333
"902",3.644
"903",4.9325
"904",7.01
"905",6.356
"906",6.78166666666667
"907",6.509
"908",3.12
"909",1.98866666666667
"910",6.91
"911",2.27766666666667
"912",0.777
"913",4.492
"914",6.80533333333333
"915",1.6045
"916",5.88566666666667
"917",4.53233333333333
"918",5.53433333333333
"919",0.999999999999999
"920",5.168
"921",5.38666666666667
"922",3.379
"923",4.86183333333333
"924",8.34866666666667
"925",4.0215
"926",6.91
"927",8.785
"928",5.822
"929",5.74
"930",3.04
"931",4.3385
"932",2.2895
"933",0.999999999999998
"934",4.0625
"935",5.17383333333333
"936",3.03316666666667
"937",6.89
"938",6.28433333333333
"939",8.66916666666667
"940",5.026
"941",5.98
"942",2.8125
"943",5.90333333333333
"944",0.999999999999996
"945",0.993333333333333
"946",8.98
"947",3.173
"948",2
"949",8.835
"950",2.46316666666667
"951",5.814
"952",6.83266666666667
"953",4.9025
"954",3.474
"955",3.065
"956",2.14
"957",7.207
"958",3.09333333333333
"959",2.10233333333333
"960",2.099
"961",6.92
"962",8.89333333333333
"963",4
"964",0.0899999999999996
"965",5.312
"966",4.98033333333333
"967",0.999999999999999
"968",7.99
"969",7.66333333333333
"970",5.70183333333333
"971",3.32583333333333
"972",2.15083333333333
"973",8.235
"974",5.97
"975",6.44116666666667
"976",0.2
"977",7.505
"978",0.953
"979",7
"980",3.8775
"981",4.49666666666667
"982",7.73666666666667
"983",6.95
"984",6.80733333333333
"985",6.81
"986",6.789
"987",0.15
"988",4.94833333333333
"989",4.11933333333333
"990",2.035
"991",1.1
"992",8.56
"993",3.44033333333333
"994",5.86
"995",6.942
"996",3.5135
"997",5.94
"998",2.188
"999",2.115
"1000",8.955
"1001",0.289999999999999
"1002",7.044
"1003",0.0224999999999986
"1004",7.01
"1005",1.07
"1006",3.27883333333333
"1007",3.93066666666667
"1008",5.45183333333333
"1009",3.26866666666667
"1010",8.36733333333333
"1011",2
"1012",5.83666666666667
"1013",3.51583333333333
"1014",6.76
"1015",3.23166666666667
"1016",6.91
"1017",2.09
"1018",3.01
"1019",4.07
"1020",6.06316666666667
"1021",5.145
"1022",8.91
"1023",7.351
"1024",5.9685
"1025",2.116
"1026",5.684
"1027",1.105
"1028",5.05
"1029",5.35533333333333
"1030",1.08
"1031",8.6525
"1032",1.03
"1033",6.32033333333333
"1034",7.61466666666667
"1035",4.092
"1036",5.11416666666667
"1037",5.28166666666667
"1038",4.42416666666667
"1039",3.018
"1040",0.0319999999999988
"1041",1.09
"1042",5.92666666666667
"1043",0.999999999999998
"1044",8.7415
"1045",2.38083333333333
"1046",1.996
"1047",7.18933333333333
"1048",6.61316666666667
"1049",5.69133333333333
"1050",5.99366666666667
"1051",2.24166666666667
"1052",5.83
"1053",3.2265
"1054",4.89733333333333
"1055",8.584
"1056",1.04
"1057",0.999999999999996
"1058",3.1
"1059",4.67033333333333
"1060",3.56966666666667
"1061",0.542333333333333
"1062",0.0999999999999994
"1063",5.75
"1064",0.224666666666666
"1065",8.227
"1066",4.055
"1067",7.135
"1068",0.00499999999999931
"1069",4.595
"1070",8.786
"1071",2.775
"1072",5.9365
"1073",7.49733333333333
"1074",5.9595
"1075",7.53083333333333
"1076",2.66416666666667
"1077",5.64333333333333
"1078",1.18
"1079",2.29466666666667
"1080",8.81
"1081",3.437
"1082",0.0899999999999992
"1083",3.23116666666667
"1084",4.17133333333333
"1085",6.94
"1086",6.95
"1087",6.03333333333333
"1088",5.807
"1089",3.161
"1090",0.999999999999999
"1091",3.078
"1092",1.46416666666667
"1093",1.01766666666667
"1094",1.02
"1095",6.89
"1096",5.806
"1097",3.73816666666667
"1098",3.252
"1099",4.93033333333333
"1100",3.57733333333333
"1101",4.21
"1102",2.1
"1103",8.65
"1104",0.999999999999999
"1105",7.709
"1106",2.2975
"1107",-6.03961325396085e-16
"1108",3.8945
"1109",4.37716666666667
"1110",6.022
"1111",6.92
"1112",2.27333333333333
"1113",4.23533333333333
"1114",0.999999999999999
"1115",-1.06581410364015e-15
"1116",4.79733333333333
"1117",2.058
"1118",6.03
"1119",4.05366666666667
"1120",8.86166666666667
"1121",6.68383333333333
"1122",4.80483333333333
"1123",4.06933333333333
"1124",1.06
"1125",5.91933333333333
"1126",3.243
"1127",6.02583333333333
"1128",5.88
"1129",0.999999999999999
"1130",2.193
"1131",0.952
"1132",5.02416666666667
"1133",7.86
"1134",0.0324999999999996
"1135",3.5695
"1136",5.94266666666667
"1137",7.38783333333333
"1138",5.43366666666667
"1139",6.6445
"1140",7.02
"1141",5.15
"1142",1.74483333333333
"1143",2.21233333333333
"1144",1.00666666666667
"1145",2
"1146",7.1005
"1147",4.09
"1148",5.59016666666667
"1149",5.05666666666667
"1150",3.421
"1151",6.008
"1152",6.87
"1153",6.16216666666667
"1154",4.14883333333333
"1155",6.2785
"1156",4.09333333333333
"1157",5.63216666666667
"1158",0.999999999999997
"1159",7.4765
"1160",3.7985
"1161",9
"1162",1.05
"1163",6.2885
"1164",0.0299999999999998
"1165",6.002
"1166",4.596
"1167",1.9835
"1168",2.7535
"1169",4.036
"1170",4.783
"1171",6.997
"1172",2.2875
"1173",8.78
"1174",0.999999999999999
"1175",7.92
"1176",3.784
"1177",2.96933333333333
"1178",6.76
"1179",2.33
"1180",4.86
"1181",3.7485
"1182",6.07633333333333
"1183",8.42483333333333
"1184",6.44133333333333
"1185",0.3785
"1186",6.95
"1187",-6.66133814775094e-16
"1188",3.1055
"1189",1.979
"1190",7.45033333333333
"1191",6.846
"1192",3.437
"1193",3.28666666666667
"1194",7.773
"1195",7.52
"1196",7.9155
"1197",3.41816666666667
"1198",2.25516666666667
"1199",5.20116666666667
"1200",4.1235
"1201",4.19816666666667
"1202",7.43433333333333
"1203",3.29016666666667
"1204",1.50966666666667
"1205",0.999999999999998
"1206",6.88
"1207",8.82933333333333
"1208",5.859
"1209",4.14333333333333
"1210",1.59883333333333
"1211",4.71216666666667
"1212",5.83983333333333
"1213",7.506
"1214",4
"1215",5.27633333333333
"1216",8.35933333333333
"1217",5.341
"1218",7.14333333333333
"1219",7.26
"1220",2.23866666666667
"1221",1.26266666666667
"1222",0.615
"1223",5.00233333333333
"1224",1.16033333333333
"1225",4.83866666666667
"1226",6.356
"1227",5.40183333333333
"1228",8.9
"1229",7.7825
"1230",5.065
"1231",4.04
"1232",3.19466666666667
"1233",2.28483333333333
"1234",4.95666666666667
"1235",4.06
"1236",2.03066666666667
"1237",8.83
"1238",4.775
"1239",4.98416666666667
"1240",8.9225
"1241",8.22116666666667
"1242",4.66916666666667
"1243",6.95333333333333
"1244",7.27083333333333
"1245",2.99316666666667
"1246",4.07
"1247",5.6015
"1248",5.1575
"1249",3.14766666666667
"1250",4.76566666666667
"1251",5.873
"1252",6.06
"1253",0.422499999999999
"1254",5.1675
"1255",5.01316666666667
"1256",5.38716666666667
"1257",7.02
"1258",5.994
"1259",4.713
"1260",4.35816666666667
"1261",1.06
"1262",6.4485
"1263",5.27116666666667
"1264",2.7035
"1265",3.08766666666667
"1266",4.5475
"1267",8.50266666666667
"1268",6.39483333333333
"1269",7.662
"1270",0.989999999999997
"1271",0.999999999999996
"1272",3.18366666666667
"1273",1.02
"1274",1.88783333333333
"1275",0.12
"1276",4.12
"1277",0.399166666666666
"1278",3.8215
"1279",5.7995
"1280",5.9165
"1281",0.999999999999999
"1282",4.37683333333333
"1283",7.005
"1284",-1.26121335597418e-15
"1285",6.93
"1286",1.02
"1287",0.251
"1288",3.80116666666667
"1289",4.3025
"1290",1.04
"1291",8.43316666666667
"1292",6.9655
"1293",4.8505
"1294",5.46283333333333
"1295",5.18416666666667
"1296",8.92
"1297",7.39183333333333
"1298",5.82
"1299",4.50966666666667
"1300",5.58
"1301",5.1165
"1302",5.398
"1303",1.01
"1304",0.999999999999998
"1305",4.10366666666667
"1306",0.2675
"1307",7.06466666666667
"1308",6.48366666666667
"1309",0.38
"1310",4.74633333333333
"1311",5.695
"1312",6.91
"1313",7.57883333333333
"1314",4.89216666666667
"1315",8.4185
"1316",5.825
"1317",2.124
"1318",3.98833333333333
"1319",6.88
"1320",4.99566666666667
"1321",8.95
"1322",6.10733333333333
"1323",5.4815
"1324",1.17
"1325",7.68916666666667
"1326",0.0999999999999995
"1327",4.4255
"1328",5.89433333333333
"1329",6.75316666666667
"1330",0.999999999999997
"1331",3.04
"1332",3.26683333333333
"1333",2.99
"1334",1.07
"1335",8.94733333333333
"1336",1.09
"1337",4.02
"1338",5
"1339",7.15
"1340",2.015
"1341",4.08783333333333
"1342",8.93
"1343",0.999999999999999
"1344",3.19
"1345",3.0125
"1346",-5.86197757002083e-16
"1347",4.6135
"1348",5.8765
"1349",1.06
"1350",5.219
"1351",3.022
"1352",5.17933333333333
"1353",6.8825
"1354",2.04
"1355",3.0725
"1356",2.23666666666667
"1357",8.83
"1358",4.0015
"1359",1.1
"1360",4.80066666666667
"1361",8.99
"1362",6.844
"1363",6.92
"1364",4.10466666666667
"1365",7.34833333333333
"1366",4.21
"1367",4.965
"1368",7.007
"1369",2.0765
"1370",1.0075
"1371",5.58666666666667
"1372",6.8
"1373",5.82366666666667
"1374",1.07
"1375",1.02
"1376",0.429833333333333
"1377",4.99266666666667
"1378",-1.4477308241112e-15
"1379",8.93
"1380",1.14
"1381",6.93666666666667
"1382",4.08
"1383",0.0299999999999995
"1384",7.44433333333333
"1385",6.97
"1386",5.07
"1387",8.50133333333333
"1388",7.8645
"1389",7.89666666666667
"1390",7.168
"1391",4.75916666666667
"1392",4.396
"1393",6.09466666666667
"1394",7.003
"1395",8.17916666666667
"1396",4.05
"1397",6.91
"1398",2.291
"1399",6.49183333333333
"1400",4.015
"1401",0.999999999999997
"1402",5.07466666666667
"1403",7.64483333333333
"1404",3.21083333333333
"1405",4.44733333333333
"1406",4.68266666666667
"1407",7.84183333333333
"1408",7.58683333333333
"1409",4.39533333333333
"1410",5.01
"1411",8.927
"1412",1.53683333333333
"1413",4.75183333333333
"1414",1.188
"1415",4.2395
"1416",3.19616666666667
"1417",6.79
"1418",4.475
"1419",0.999999999999999
"1420",6.98
"1421",8.9385
"1422",3.2245
"1423",3.75933333333333
"1424",5.68583333333333
"1425",7.34566666666667
"1426",7.61716666666667
"1427",5.0725
"1428",-7.63833440942108e-16
"1429",7.62433333333333
"1430",6.2695
"1431",4.15666666666667
"1432",7.02
"1433",1.04
"1434",7.96033333333333
"1435",5.45883333333333
"1436",6.77633333333333
"1437",8.35466666666667
"1438",4.03
"1439",8.831
"1440",8.74
"1441",5.86
"1442",3.549
"1443",2.102
"1444",6.75833333333333
"1445",4.94733333333333
"1446",7.915
"1447",0.0199999999999996
"1448",4.41233333333333
"1449",7.2855
"1450",2.379
"1451",7.3295
"1452",6.45983333333333
"1453",6.06266666666667
"1454",-1.51878509768721e-15
"1455",8.94
"1456",0.303166666666667
"1457",6.25516666666667
"1458",7.046
"1459",0.0979999999999992
"1460",7.588
"1461",5.366
"1462",4.18
"1463",3.117
"1464",5.94583333333333
"1465",2.1675
"1466",4.91333333333333
"1467",3.125
"1468",1.05
"1469",5.95183333333333
"1470",3.98766666666667
"1471",1.07
"1472",0.874666666666667
"1473",5.54666666666667
"1474",5.01416666666667
"1475",8.84
"1476",3.2125
"1477",2.1
"1478",7.72216666666667
"1479",4.2805
"1480",7.081
"1481",7.09516666666667
"1482",5.79783333333333
"1483",5.995
"1484",3.98
"1485",4.08
"1486",0.0399999999999993
"1487",6.846
"1488",5.4235
"1489",8.6875
"1490",5.9475
"1491",6.933
"1492",3.56766666666667
"1493",7.735
"1494",8.93
